¿°»ö»öÂ÷ DL,¿°»ö»öÂ÷ DA,¿°»ö»öÂ÷ DB,¿°»ö»öÂ÷ DC,¿°»ö»öÂ÷ DH,¿°»ö»öÂ÷ DE
-1.13842,-0.1600094,-0.1499052,-0.2139339,-0.04803153,1.159343
2.148523,-0.7348508,-0.5476475,0.3881922,-0.830199,2.335824
0.4224739,-0.351727,-0.3231466,0.2045755,-0.4316068,0.6376675
0.9274139,-0.3871021,0.4347076,-0.3412304,-0.4715725,1.09495
0.517952,-0.5981922,1.274443,-1.385516,-0.2497684,1.500104
-2.521538,-0.5457103,2.103877,-2.172013,0.08037856,3.329002
-2.727478,-1.964957,5.800331,-6.075579,-0.7695705,6.704031
-1.571388,-2.515018,6.604052,-6.953485,-1.260106,7.239342
0.3275738,-0.04850328,0.5412877,-0.5168732,0.1678898,0.6345467
0.8416576,-0.1699924,0.6106675,-0.6302543,0.06776206,1.05366
0.3690109,-0.097543,0.5880177,-0.5801438,0.136794,0.7010339
0.4092999,-0.6095324,0.1675186,0.07893562,-0.6271853,0.7530727
-0.3352985,-0.65662,0.4049597,-0.1187458,-0.7622609,0.8411702
0.4225235,0.04905462,0.128829,-0.1378431,0.00159618,0.4444428
-0.6463928,0.05307817,0.1735926,-0.1812382,-0.01021648,0.671398
0.3794136,-0.000923634,0.1931429,-0.1807489,-0.06807966,0.4257461
-0.8362656,0.3090799,-0.3535986,0.3448826,-0.3187763,0.9591154
0.6934586,1.301645,1.095079,1.640129,-0.4510608,1.836944
-1.517086,-0.5021706,-0.853754,-0.9883347,-0.06531131,1.8118
1.265701,0.03728271,0.9978771,0.9704285,-0.235409,1.612188
0.4191513,0.2315938,0.06488562,0.0178895,-0.2398454,0.4832532
0.1761551,-0.1189411,-0.2121687,0.2273307,-0.08650598,0.3003217
0.8923073,-0.2345592,0.4952374,-0.4475799,-0.3161494,1.047134
-0.05635262,0.04287064,0.09385347,-0.05862296,0.08491004,0.1175669
0.2504578,0.06631017,0.2241135,-0.1525989,0.177024,0.3425682
2.070065,0.2826154,0.7976651,-0.8446782,-0.05157606,2.236361
-0.000110626,0.01505017,0.000452995,-0.006184101,0.01372843,0.0150574
-0.5292568,-0.1129955,0.3401101,-0.3297924,0.1402849,0.6391836
-4.208237,0.4956126,0.1766205,-0.2344642,0.4710127,4.241
1.180176,0.4540086,1.537275,-1.585617,0.2348555,1.990516
-13.46375,-12.90301,28.75564,-31.4256,2.409685,34.27313
-13.46375,-12.90301,28.75564,-31.4256,2.409685,34.27313
-13.81865,-12.92187,28.61772,-31.31973,2.241271,34.30603
-13.81865,-12.92187,28.61772,-31.31973,2.241271,34.30603
-13.63034,-12.97174,28.44171,-31.19711,1.984249,34.10254
-13.63034,-12.97174,28.44171,-31.19711,1.984249,34.10254
0.3323631,0.1036835,1.164757,0.8264084,0.8273196,1.215678
-0.1591835,0.05292892,-0.2201462,-0.09918213,-0.2035404,0.2767764
0.1413803,-0.1992874,0.1482582,-0.05878448,0.2413304,0.2858048
0.5039673,0.2400279,-0.2740502,0.3068042,0.1964386,0.621852
0.8695068,0.3785193,-0.3931522,0.4482322,0.3113415,1.02659
0.7253418,0.3056526,-2.316773,-2.313681,0.3282388,2.446831
1.067551,0.4661679,-2.457762,-2.495908,0.1683782,2.719847
1.067551,0.4661679,-2.457762,-2.495908,0.1683782,2.719847
-14.43311,-13.13107,29.11307,-31.84957,2.366552,35.04726
-14.43311,-13.13107,29.11307,-31.84957,2.366552,35.04726
-0.7479515,-0.1817493,-0.1086235,-0.003163338,-0.2117119,0.7773438
-14.74243,-13.04607,28.81906,-31.55627,2.222604,34.90097
-14.74243,-13.04607,28.81906,-31.55627,2.222604,34.90097
-13.96789,-12.82179,28.99716,-31.58216,2.793082,34.64586
-13.96789,-12.82179,28.99716,-31.58216,2.793082,34.64586
-1.226189,1.315505,-0.778389,0.9001999,1.235347,1.959587
-1.999084,1.441151,-0.2763252,0.4155273,1.407341,2.479841
-1.794876,1.187682,-0.05601501,0.168148,1.177053,2.152976
-1.019608,0.9459555,0.1062126,-0.02706528,0.9515147,1.394888
-0.5676956,0.0308156,-0.420332,-0.4213886,-0.007755911,0.7070409
0.4411697,-1.101792,0.4852066,-0.6680984,-1.001507,1.282186
5.276642,-3.900349,0.5558739,-1.066936,-3.792541,6.585186
2.149246,-2.2012,0.2859955,-0.6267891,-2.129368,3.089714
0.6684036,-1.431138,0.2314949,-0.4676857,-1.37223,1.596405
0.669117,-1.313806,0.5389938,-0.7541275,-1.203284,1.569814
0.03676224,-0.9969473,0.6037254,-0.7683296,-0.8763891,1.166079
-0.2626495,0.4664383,0.5726089,0.7305069,0.1086525,0.7838562
-15.71739,-13.25694,29.07129,-31.88219,2.100501,35.6079
-15.71739,-13.25694,29.07129,-31.88219,2.100501,35.6079
-0.1435452,0.1267343,-0.2201796,0.2538376,-0.01034791,0.2917975
-15.56274,-13.25317,28.92577,-31.75681,1.96246,35.41956
-15.56274,-13.25317,28.92577,-31.75681,1.96246,35.41956
-14.97494,-13.28503,28.51322,-31.42018,1.505979,34.83883
-14.97494,-13.28503,28.51322,-31.42018,1.505979,34.83883
-13.7711,-12.7388,28.02751,-30.72229,1.989765,33.72627
-13.7711,-12.7388,28.02751,-30.72229,1.989765,33.72627
-14.04742,-12.76498,28.38163,-31.03632,2.282263,34.14369
-14.04742,-12.76498,28.38163,-31.03632,2.282263,34.14369
-13.83055,-12.75546,28.41438,-31.05879,2.330222,34.07877
-13.83055,-12.75546,28.41438,-31.05879,2.330222,34.07877
0.1202316,-0.3174248,0.2638693,0.3877449,-0.1415605,0.4299316
0.2329254,0.7511387,0.2444859,-0.6218948,-0.4870621,0.8235514
